geneBioID	ProteinBioCynId
FBGN0036740	FBGN0036740-MONOMER
FBGN0035484	FBGN0035484-MONOMER
FBGN0030626	FBGN0030626-MONOMER
FBGN0051404	FBGN0051404-MONOMER
FBGN0030277	FBGN0030277-MONOMER
FBGN0259719	FBGN0259719-MONOMER
FBGN0030396	FBGN0030396-MONOMER
FBGN0031921	FBGN0031921-MONOMER
FBGN0086686	FBGN0086686-MONOMER
FBGN0033957	FBGN0033957-MONOMER
FBGN0039538	FBGN0039538-MONOMER
FBGN0032023	FBGN0032023-MONOMER
FBGN0029658	FBGN0029658-MONOMER
FBGN0047334	FBGN0047334-MONOMER
FBGN0000416	FBGN0000416-MONOMER
FBGN0032671	FBGN0032671-MONOMER
FBGN0039190	FBGN0039190-MONOMER
FBGN0085193	FBGN0085193-MONOMER
FBGN0032347	FBGN0032347-MONOMER
FBGN0027335	FBGN0027335-MONOMER
FBGN0058100	FBGN0058100-MONOMER
FBGN0034576	FBGN0034576-MONOMER
FBGN0029716	FBGN0029716-MONOMER
FBGN0032019	FBGN0032019-MONOMER
FBGN0032330	FBGN0032330-MONOMER
FBGN0039290	FBGN0039290-MONOMER
FBGN0037689	FBGN0037689-MONOMER
FBGN0039433	FBGN0039433-MONOMER
FBGN0027057	FBGN0027057-MONOMER
FBGN0039342	FBGN0039342-MONOMER
FBGN0259817	FBGN0259817-MONOMER
FBGN0053231	FBGN0053231-MONOMER
FBGN0030317	FBGN0030317-MONOMER
FBGN0085191	FBGN0085191-MONOMER
FBGN0052268	FBGN0052268-MONOMER
FBGN0052662	FBGN0052662-MONOMER
FBGN0016792	FBGN0016792-MONOMER
FBGN0029692	FBGN0029692-MONOMER
FBGN0032111	FBGN0032111-MONOMER
FBGN0028936	FBGN0028936-MONOMER
FBGN0037421	FBGN0037421-MONOMER
FBGN0036549	FBGN0036549-MONOMER
FBGN0085530	FBGN0085530-MONOMER
FBGN0038368	FBGN0038368-MONOMER
FBGN0086685	FBGN0086685-MONOMER
FBGN0039437	FBGN0039437-MONOMER
FBGN0010877	FBGN0010877-MONOMER
FBGN0023167	FBGN0023167-MONOMER
FBGN0085508	FBGN0085508-MONOMER
FBGN0032801	FBGN0032801-MONOMER
