2214,MANNCAT-PWY|MANGDPMET-PWY|PWY-5659
2215,PWY-561|PWY-5690
2219,4AMINOBUTMETAB-PWY
2222,PWY0-166
2227,1CMET2-PWY|PWY-2201
2236,PWY-4041
2237,P441-PWY|GLUAMCAT-PWY
2239,PWY-6138
2255,TYRFUMCAT-PWY
2259,PWY-1722
2262,PWY3DJ-12
2265,PWY-6309|PWY-5651
2269,NAD-BIOSYNTHESIS-II
2276,PWY-6000
2277,XYLCAT-PWY
2280,PWY-5664
2281,PWY4FS-6
2300,PWY-2501
2304,COA-PWY
2306,PWY-6166
2310,PWY-5067
2313,PWY-841
2322,PWY-2161
2327,PWY-5074
2328,FOLSYN-PWY|PWY-6121
2339,SERSYN-PWY
2344,PWY-4061
2346,PWY-6309|PWY-5651
2349,SALVPURINE2-PWY
2351,PWY-3982
2357,PWY-1269
2359,PWY-2501
2365,PWY-5695|SALVPURINE2-PWY|PWY0-1296
2366,PWY6666-2
2367,PWY-5661
2370,PROPIONMET-PWY
2381,METHIONINE-DEG1-PWY
2401,PWY490-4
2403,PWY-6281
2416,PWY-5921
2418,PWY-6281
2421,TRNA-CHARGING-PWY
2422,TRNA-CHARGING-PWY
2423,TRNA-CHARGING-PWY
2424,PWY490-4
2425,TRNA-CHARGING-PWY
2426,TRNA-CHARGING-PWY
2427,TRNA-CHARGING-PWY
2428,TRNA-CHARGING-PWY
2429,TRNA-CHARGING-PWY
2430,TRNA-CHARGING-PWY
2431,TRNA-CHARGING-PWY
2432,TRNA-CHARGING-PWY
2433,TRNA-CHARGING-PWY
2434,TRNA-CHARGING-PWY
2435,TRNA-CHARGING-PWY
2436,TRNA-CHARGING-PWY
2437,TRNA-CHARGING-PWY
2438,TRNA-CHARGING-PWY
2439,TRNA-CHARGING-PWY
2440,PWY-6281
2441,PWY-5921
2442,TRNA-CHARGING-PWY
2443,TRNA-CHARGING-PWY
2446,PWY-5905
2451,PWY-6142
2463,PWY0-1275
2465,PWY-5084
2470,PWY-3781
2472,PWY0-166
2476,PYRUVDEHYD-PWY
2479,PWY-5905
2481,GLYCLEAV-PWY
2486,PWY-5084
2498,PWY0-522
2499,PWY-5046
2500,PWY0-1275
2501,PWY0-166
2509,FASYN-INITIAL-PWY|PWY-5966
