counpoundId,reactID,Stoichometry,ismain
303,307,,true
2232,308,,true
2220,308,,true
2330,308,,true
2219,308,,true
2469,308,,true
1207,309,,true
1665,309,,true
926,309,,true
1178,309,,true
1678,309,,true
1136,310,,true
1134,310,,true
4394,311,,true
522,311,,true
4775,311,,true
914,311,,true
522,313,,true
1310,313,,true
407,313,,true
1321,313,,true
1551,313,,true
1738,314,,true
293,314,,true
522,314,,true
483,315,,true
1144,315,,true
248,315,,true
1700,315,,true
1855,316,,true
2327,316,,true
2459,316,,true
1700,316,,true
417,317,,true
827,317,,true
1552,317,,true
799,318,,true
839,318,,true
717,318,,true
843,318,,true
3345,319,,true
1648,319,,true
1160,319,,true
830,320,,true
1507,320,,true
826,320,,true
216,320,,true
1310,321,,true
3956,321,,true
1321,321,,true
3932,321,,true
822,322,,true
1059,322,,true
374,322,,true
92,322,,true
303,322,,true
1433,323,,true
522,323,,true
1388,323,,true
1642,323,,true
1372,323,,true
1457,324,,true
522,324,,true
1448,324,,true
896,325,,true
1059,325,,true
522,325,,true
1073,325,,true
36,325,,true
1307,326,,true
1406,326,,true
1306,326,,true
1421,326,,true
809,328,,true
178,328,,true
29,328,,true
914,328,,true
1739,329,,true
522,329,,true
191,329,,true
945,330,,true
949,330,,true
522,331,,true
3278,331,,true
3412,331,,true
1969,331,,true
721,332,,true
1548,332,,true
926,332,2,true
1035,332,2,true
325,333,2,true
914,333,,true
1550,333,,true
3702,334,,true
1113,334,,true
1702,334,,true
1813,334,,true
3329,335,,true
1178,335,,true
1496,335,,true
109,336,,true
1160,336,,true
1506,336,,true
209,337,,true
406,337,,true
926,338,,true
995,338,,true
1059,338,,true
1320,338,,true
993,338,,true
522,338,,true
1309,338,,true
873,339,,true
92,339,,true
191,339,,true
597,340,,true
1309,340,,true
599,340,,true
1320,340,,true
926,340,,true
1358,341,,true
839,341,,true
926,341,,true
843,341,,true
1356,341,,true
83,342,,true
1335,342,,true
838,343,,true
1388,343,,true
869,343,,true
1642,343,,true
224,344,,true
1423,344,,true
565,344,,true
1642,344,,true
1470,345,,true
1059,345,,true
1320,345,,true
926,345,,true
1648,345,,true
522,345,2,true
1309,345,2,true
1139,346,2,true
3761,346,2,true
926,346,2,true
1132,346,,true
3757,346,,true
767,347,,true
3801,347,,true
756,347,,true
3800,347,,true
839,348,,true
2893,348,,true
843,348,,true
2889,348,,true
1678,349,,true
914,349,,true
351,349,,true
1689,349,,true
753,350,,true
1642,350,,true
1676,350,,true
1378,350,,true
1678,350,,true
3932,351,,true
1320,351,,true
3951,351,,true
1309,351,,true
3920,352,,true
2469,352,,true
2464,352,,true
1642,352,,true
1673,353,,true
1676,353,,true
1668,353,,true
1665,353,,true
1388,354,,true
1394,354,n,true
1320,354,2n,true
926,354,2n,true
4086,354,,true
1642,354,(n+1),true
303,354,n,true
1309,354,2n,true
1502,355,2n,true
65,355,,true
153,355,,true
1663,356,,true
522,356,3,true
926,356,2,true
805,356,2,true
914,356,2,true
657,357,2,true
522,357,2,true
926,357,,true
643,357,,true
914,357,,true
1739,358,,true
1506,358,,true
1548,358,,true
1662,359,,true
1661,359,,true
462,360,,true
420,360,,true
914,360,,true
2522,361,,true
522,361,,true
2534,361,,true
900,361,,true
926,362,,true
873,362,,true
1507,362,,true
826,362,,true
263,362,,true
1310,363,,true
1540,363,,true
1321,363,,true
543,363,,true
1270,364,,true
1059,364,,true
1320,364,,true
1277,364,,true
158,364,,true
522,364,,true
1309,364,,true
333,365,,true
926,365,,true
266,365,,true
1506,365,,true
176,366,,true
926,366,3,true
111,366,,true
522,366,,true
3581,367,,true
914,367,,true
1161,367,,true
926,368,,true
18,368,,true
766,368,,true
522,368,,true
612,369,,true
1059,369,,true
1507,369,,true
622,369,,true
1551,369,,true
303,369,,true
1309,370,,true
1130,370,,true
926,370,,true
1320,370,,true
1129,370,,true
45,371,,true
1676,371,,true
926,371,2,true
474,371,2,true
1665,371,2,true
943,372,2,true
938,372,,true
522,372,,true
1400,373,,true
838,373,,true
926,373,,true
1296,373,,true
1642,373,,true
926,374,,true
1000,374,,true
1059,374,,true
1320,374,,true
987,374,,true
522,374,,true
1309,374,,true
579,375,,true
1283,375,,true
1486,376,,true
522,376,,true
1493,376,,true
914,376,,true
3343,377,,true
1676,377,,true
1173,377,,true
1678,377,,true
630,378,,true
1507,378,,true
1059,378,,true
627,378,,true
1551,378,,true
303,378,,true
821,379,,true
1507,379,,true
826,379,,true
439,379,,true
756,380,,true
926,380,2,true
757,380,2,true
1682,381,2,true
1676,381,2,true
1666,381,,true
1665,381,,true
1640,382,,true
274,382,,true
513,382,,true
1642,382,,true
522,383,,true
1707,383,,true
92,383,,true
1706,383,,true
4393,384,,true
922,385,,true
926,385,,true
522,385,,true
1676,385,,true
922,385,,true
926,385,,true
914,385,,true
1665,385,,true
702,386,,true
938,386,,true
940,386,,true
522,386,,true
140,387,,true
1,387,,true
520,387,,true
522,387,,true
